Date,Title,Price,Item_URL
"08:46PM on October 30, 2021","Plugable USB 3.0 Universal Laptop Docking Station Dual Monitor for Windows and Mac (Dual Video: HDMI and DVI/VGA/HDMI, Gigabit Ethernet, Audio, 6 USB Ports) ",$99.00,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04737066JCR09KCBFMT&url=%2FPlugable-Universal-Docking-Station-Ethernet%2Fdp%2FB00ECDM78E%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DPlugable%2BUSB%2B3.0%2Band%2BUSB-C%2BUniversal%2BLaptop%2BDocking%2BStation%2Bfor%2BWindows%2Band%2BMac%2B%2528Dual%2BVideo%2BHDMI%252C%2BGigabit%2BEthernet%252C%2BAudio%252C%2B6%2BUSB%2BPorts%2529%26qid%3D1635641196%26sr%3D8-1-spons%26psc%3D1&qualifier=1635641196&id=2500265895014731&widgetName=sp_atf
"08:46PM on October 30, 2021","Plugable USB 3.0 Universal Laptop Docking Station for Windows and Mac (Dual Monitor: HDMI and DVI/HDMI/VGA, Gigabit Ethernet, Audio, 6 USB Ports) - Horizontal ",$99.00,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0473606ZC08AXJRY9XY&url=%2FPlugable-Monitor-Horizontal-Docking-Ethernet%2Fdp%2FB07BFJSYFM%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DPlugable%2BUSB%2B3.0%2Band%2BUSB-C%2BUniversal%2BLaptop%2BDocking%2BStation%2Bfor%2BWindows%2Band%2BMac%2B%2528Dual%2BVideo%2BHDMI%252C%2BGigabit%2BEthernet%252C%2BAudio%252C%2B6%2BUSB%2BPorts%2529%26qid%3D1635641196%26sr%3D8-2-spons%26psc%3D1%26smid%3DA3HIHADV23VGU1&qualifier=1635641196&id=2500265895014731&widgetName=sp_atf
"08:46PM on October 30, 2021","Plugable USB 3.0 and USB-C Universal Laptop Docking Station for Windows and Mac (Dual Video HDMI, Gigabit Ethernet, Audio, 6 USB Ports) ",$99.00,https://amazon.com/Plugable-Universal-Docking-Station-Ethernet/dp/B08B6FMPTP/ref=sr_1_3?dchild=1&keywords=Plugable+USB+3.0+and+USB-C+Universal+Laptop+Docking+Station+for+Windows+and+Mac+%28Dual+Video+HDMI%2C+Gigabit+Ethernet%2C+Audio%2C+6+USB+Ports%29&qid=1635641196&qsid=138-5733135-2522908&sr=8-3&sres=B08B6FMPTP%2CB07BFJSYFM%2CB08B6CZ29Q%2CB075DJMVW2%2CB00ECDM78E%2CB098W6WHY6%2CB07CRSH25X%2CB076HXWR9M%2CB075M1XHCK%2CB08DDH5CPW%2CB078J7FSWM%2CB06ZYR66QB%2CB08HR3T837%2CB08HNJRVC3%2CB08F2SZQYX%2CB07QFYRGW8&srpt=ELECTRONIC_DEVICE_DOCKING_STATION
"08:46PM on October 30, 2021","Plugable USB 3.0 Universal Laptop Docking Station for Windows and Mac (Dual Monitor: HDMI and DVI/HDMI/VGA, Gigabit Ethernet, Audio, 6 USB Ports) - Horizontal ",$99.00,https://amazon.com/Plugable-Monitor-Horizontal-Docking-Ethernet/dp/B07BFJSYFM/ref=sr_1_4?dchild=1&keywords=Plugable+USB+3.0+and+USB-C+Universal+Laptop+Docking+Station+for+Windows+and+Mac+%28Dual+Video+HDMI%2C+Gigabit+Ethernet%2C+Audio%2C+6+USB+Ports%29&qid=1635641196&qsid=138-5733135-2522908&sr=8-4&sres=B08B6FMPTP%2CB07BFJSYFM%2CB08B6CZ29Q%2CB075DJMVW2%2CB00ECDM78E%2CB098W6WHY6%2CB07CRSH25X%2CB076HXWR9M%2CB075M1XHCK%2CB08DDH5CPW%2CB078J7FSWM%2CB06ZYR66QB%2CB08HR3T837%2CB08HNJRVC3%2CB08F2SZQYX%2CB07QFYRGW8&srpt=ELECTRONIC_DEVICE_DOCKING_STATION
"08:46PM on October 30, 2021","Plugable USB 3.0 and USB-C Dual 4K Display Docking Station with DisplayPort and HDMI for Windows and Mac (Dual 4K DisplayPort & HDMI, Gigabit Ethernet, Audio, 6 USB Ports) Vertical ",$149.00,https://amazon.com/Plugable-Display-DisplayPort-Ethernet-Vertical/dp/B08B6CZ29Q/ref=sr_1_5?dchild=1&keywords=Plugable+USB+3.0+and+USB-C+Universal+Laptop+Docking+Station+for+Windows+and+Mac+%28Dual+Video+HDMI%2C+Gigabit+Ethernet%2C+Audio%2C+6+USB+Ports%29&qid=1635641196&qsid=138-5733135-2522908&sr=8-5&sres=B08B6FMPTP%2CB07BFJSYFM%2CB08B6CZ29Q%2CB075DJMVW2%2CB00ECDM78E%2CB098W6WHY6%2CB07CRSH25X%2CB076HXWR9M%2CB075M1XHCK%2CB08DDH5CPW%2CB078J7FSWM%2CB06ZYR66QB%2CB08HR3T837%2CB08HNJRVC3%2CB08F2SZQYX%2CB07QFYRGW8&srpt=ELECTRONIC_DEVICE_DOCKING_STATION
"08:46PM on October 30, 2021","Plugable USB 3.0 Dual DisplayPort 4K Monitor Universal Laptop Docking Station for Windows and Mac (Dual 4K DisplayPort, Gigabit Ethernet, Audio, 6 USB Ports) ",$179.00,https://amazon.com/Plugable-DisplayPort-Monitor-Universal-Ethernet/dp/B075DJMVW2/ref=sr_1_6?dchild=1&keywords=Plugable+USB+3.0+and+USB-C+Universal+Laptop+Docking+Station+for+Windows+and+Mac+%28Dual+Video+HDMI%2C+Gigabit+Ethernet%2C+Audio%2C+6+USB+Ports%29&qid=1635641196&qsid=138-5733135-2522908&sr=8-6&sres=B08B6FMPTP%2CB07BFJSYFM%2CB08B6CZ29Q%2CB075DJMVW2%2CB00ECDM78E%2CB098W6WHY6%2CB07CRSH25X%2CB076HXWR9M%2CB075M1XHCK%2CB08DDH5CPW%2CB078J7FSWM%2CB06ZYR66QB%2CB08HR3T837%2CB08HNJRVC3%2CB08F2SZQYX%2CB07QFYRGW8&srpt=ELECTRONIC_DEVICE_DOCKING_STATION
"08:46PM on October 30, 2021","ICY BOX USB 3.0 Universal Laptop Docking Station for Windows/Mac - Dual Monitor Dock (Dual HDMI, Gigabit Ethernet, Audio, 4 USB Ports) with USB B to A/C Cable ",$99.00,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A032497430M8T4YZKWIA3&url=%2FUniversal-Laptop-Docking-Station-Windows%2Fdp%2FB081S5XL28%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3DPlugable%2BUSB%2B3.0%2Band%2BUSB-C%2BUniversal%2BLaptop%2BDocking%2BStation%2Bfor%2BWindows%2Band%2BMac%2B%2528Dual%2BVideo%2BHDMI%252C%2BGigabit%2BEthernet%252C%2BAudio%252C%2B6%2BUSB%2BPorts%2529%26qid%3D1635641196%26sr%3D8-7-spons%26psc%3D1&qualifier=1635641196&id=2500265895014731&widgetName=sp_mtf
"08:46PM on October 30, 2021","Plugable USB 3.0 Universal Laptop Docking Station Dual Monitor for Windows and Mac (Dual Video: HDMI and DVI/VGA/HDMI, Gigabit Ethernet, Audio, 6 USB Ports) ",$99.00,https://amazon.com/Plugable-Universal-Docking-Station-Ethernet/dp/B00ECDM78E/ref=sr_1_8?dchild=1&keywords=Plugable+USB+3.0+and+USB-C+Universal+Laptop+Docking+Station+for+Windows+and+Mac+%28Dual+Video+HDMI%2C+Gigabit+Ethernet%2C+Audio%2C+6+USB+Ports%29&qid=1635641196&qsid=138-5733135-2522908&sr=8-8&sres=B08B6FMPTP%2CB07BFJSYFM%2CB08B6CZ29Q%2CB075DJMVW2%2CB00ECDM78E%2CB098W6WHY6%2CB07CRSH25X%2CB076HXWR9M%2CB075M1XHCK%2CB08DDH5CPW%2CB078J7FSWM%2CB06ZYR66QB%2CB08HR3T837%2CB08HNJRVC3%2CB08F2SZQYX%2CB07QFYRGW8&srpt=ELECTRONIC_DEVICE_DOCKING_STATION
"08:46PM on October 30, 2021","Plugable USB 3.0 Universal Laptop Docking Station Dual Monitor Bundle with USB C to USB A Adapter Cable for Windows and Mac (Dual Video: HDMI and DVI/VGA/HDMI, Gigabit Ethernet, Audio, 6 USB Ports) ",$103.95,https://amazon.com/Plugable-Universal-Docking-Station-Monitor/dp/B098W6WHY6/ref=sr_1_9?dchild=1&keywords=Plugable+USB+3.0+and+USB-C+Universal+Laptop+Docking+Station+for+Windows+and+Mac+%28Dual+Video+HDMI%2C+Gigabit+Ethernet%2C+Audio%2C+6+USB+Ports%29&qid=1635641196&qsid=138-5733135-2522908&sr=8-9&sres=B08B6FMPTP%2CB07BFJSYFM%2CB08B6CZ29Q%2CB075DJMVW2%2CB00ECDM78E%2CB098W6WHY6%2CB07CRSH25X%2CB076HXWR9M%2CB075M1XHCK%2CB08DDH5CPW%2CB078J7FSWM%2CB06ZYR66QB%2CB08HR3T837%2CB08HNJRVC3%2CB08F2SZQYX%2CB07QFYRGW8&srpt=ELECTRONIC_DEVICE_DOCKING_STATION
"08:46PM on October 30, 2021","Plugable USB 3.0 Dual 4K Display Horizontal Docking Station with DisplayPort and HDMI for Windows and Mac (Dual 4K DisplayPort &amp; HDMI, Gigabit Ethernet, Audio, 6 USB Ports) ",$160.06,https://amazon.com/Plugable-Display-Horizontal-DisplayPort-Ethernet/dp/B07CRSH25X/ref=sr_1_10?dchild=1&keywords=Plugable+USB+3.0+and+USB-C+Universal+Laptop+Docking+Station+for+Windows+and+Mac+%28Dual+Video+HDMI%2C+Gigabit+Ethernet%2C+Audio%2C+6+USB+Ports%29&qid=1635641196&qsid=138-5733135-2522908&sr=8-10&sres=B08B6FMPTP%2CB07BFJSYFM%2CB08B6CZ29Q%2CB075DJMVW2%2CB00ECDM78E%2CB098W6WHY6%2CB07CRSH25X%2CB076HXWR9M%2CB075M1XHCK%2CB08DDH5CPW%2CB078J7FSWM%2CB06ZYR66QB%2CB08HR3T837%2CB08HNJRVC3%2CB08F2SZQYX%2CB07QFYRGW8&srpt=ELECTRONIC_DEVICE_DOCKING_STATION
